words	syl_seq	syls
deleted	1010010	3
flogging	10001000	2
unstormy	10100001	3
lala	1010	2
wars	1000	1
paleozoological	101011011001100	8
quasi-indifferent	10010010100100100	6
verners	1001000	2
spinner	1000100	2
ares	1010	2
dimorphite	1010010000	3
gled	1000	1
inherency	101001010	4
unproductive	101001001000	4
evolvement	1100001000	3
crop-dusting	100001000100	3
unshippable	10100010100	4
ondo	1010	2
blusterous	1000100100	3
unassociated	101010101010	6
montgolfier	10001001000	3
lalapalooza	10011010010	5
incitation	1010101000	4
clusium	1001010	3
canvasser	100100010	3
aerometric	1001100100	4
scarborough	10001000000	2
redback	1001000	2
tachisme	10100000	2
caelum	100100	2
aurochs	1010000	2
nitty	10010	2
thiensville	10000010000	2
climatology	10010100110	5
daisycutter	10010100100	4
clide	10010	2
zigzagger	100100100	3
trunnioned	1000100000	2
herniated	100101010	4
lace	1000	1
confect	1001000	2
centralism	1001000100	3
fumigator	101010100	4
glacialist	1001000100	3
unlined	1010000	2
jerkinhead	1001001000	3
yodeling	10100100	3
talianesque	10010010000	4
inserted	10100010	3
burden	100100	2
diapositive	10110011000	5
nonflatulent	100100011000	4
sorrier	1001010	3
unhypnotise	10100101000	4
ogdoad	101010	3
dight	10000	1
bathroom	10001000	2
antipathogen	101010001100	5
arbitrated	1010100010	4
heres	10100	2
purfle	100100	2
timothy	1001100	3
catechu	1001100	3
preanticipate	1001010011000	5
hoary	10001	2
duquesne	10100000	2
administrator	1010010100100	5
swelteringly	100010010010	4
spiflicate	1000101000	3
nonmobile	100101000	3
rhodolite	100011000	3
tampur	100100	2
levity	100110	3
half-languaged	10000100100000	3
frenchiest	1000001100	3
nucleoprotein	1010011001000	5
haematomata	10001101010	5
denumerable	10101001100	5
evora	11010	3
crassulaceous	1000101010000	4
clearfield	1000010000	2
uncapitalised	1010011001000	5
since	10000	1
guevara	1001010	3
furculum	10010100	3
surg	1000	1
gillingham	1001000100	3
waters	101000	2
semiprimitive	1001100011000	5
coddler	1001000	2
lumining	10100100	3
nonrelative	10010011000	4
stumbler	10001000	2
turtledove	1001001000	3
unlonged-for	101000000100	3
pejorative	1010101000	4
loaiasis	10111100	5
mutilative	1010101000	4
consenter	100100010	3
pseudorish	1000100000	2
absorptiometer	10100010101100	6
varied	100100	2
carnify	1001010	3
hexabasic	100110100	4
belostok	10100100	3
nonsolidified	1001010011000	5
schoolman	100000100	2
unloved	1010000	2
unworldly	101000010	3
militancy	100110010	4
dejecta	1010010	3
overfavor	110010100	4
clown	10000	1
dipsy-doodle	100100100100	4
sectary	1001001	3
statoscope	1000110000	3
disclosure	1001001000	3
hotly	10010	2
fifing	100100	2
podgoritsa	1001010100	4
conrad	100100	2
unsheeting	1010000100	3
pilpulistic	10010010100	4
obstreperosity	10100001100110	6
broomstick	1000010000	2
satanicalness	1010011001000	5
translocated	100001010010	4
peascod	1000100	2
recancel	10100100	3
pixel	10010	2
pedagogy	10011010	4
susian	101010	3
cognitive	100101000	3
unsainted	101000010	3
gerontology	10010100110	5
tearless	10001000	2
underfiend	1010010000	3
sissified	100101000	3
galvaniser	1001010010	4
achilary	11001010	4
orlans	101100	3
dunsmuir	10001000	2
zephyrinus	1000110100	4
quasi-improved	10010010100000	4
ferriferous	10010010100	4
uncounselled	101000100000	3
clarabelle	1000110000	3
unsuppositional	101001010100010	6
canneries	100100100	3
numismatologist	101001010011000	6
nonviscidity	100100100110	5
syncretic	100100010	3
sedimentologic	10011001010010	6
unincarcerated	10101001001010	6
wordlessness	100010001000	3
archil	101000	2
clinically	1000110010	4
bruising	10000100	2
cactuses	10010010	3
loppy	10010	2
tzar	1000	1
brownshirt	1000010000	2
finca	10010	2
hers	1000	1
kidneylike	1001000000	2
pigeon	100100	2
lithophile	1000110000	3
reacquire	101010000	3
sheetlike	100001000	2
sweepstakes	10000100000	2
betray	101000	2
unrecumbent	10101001000	4
sulphuric	100100010	3
moeragetes	1001001100	4
macroclimatically	10010100100110010	7
labe	1010	2
finning	1001000	2
nyerere	1001010	3
sacker	100010	2
versailles	1001000000	2
unelectrifying	10110010010100	6
quarrying	100010100	3
unclassified	101000101000	4
crampedness	10000001000	2
effervesced	10100100000	3
inspect	1010000	2
unwaxed	1010000	2
epizooty	10110110	5
blemish	1000100	2
allowancing	10100100100	4
maun	1000	1
crepitating	10001100100	4
opacity	1100110	4
walvis	100100	2
perelman	10000100	2
year-around	10000110000	3
s	1	2
slideway	10000100	2
postamniotic	100010101010	5
kegeler	1001100	3
theyve	100000	1
flippant	10001000	2
aerobiologically	1001101100110010	8
boyla	10010	2
reswore	1010000	2
marmot	100100	2
vistaless	100101000	3
ephemerides	11001001100	5
brieflessly	10000100010	3
areologic	101110010	5
directional	10100100010	4
faeries	1010100	3
overbulky	110010010	4
hemorrhaged	10010100000	3
porphyrization	10010010101000	5
unelapsed	101100000	3
lol	100	1
granolithic	10001100010	4
pseudoexperimental	100010101001100100	7
spindle-legged	10001000100100	4
khafajeh	10010100	3
prebarbarous	100100100100	4
aegis	10100	2
thirty-twomo	100010010010	4
estoppel	10100100	3
logperches	1001000010	3
post-chaucerian	100001000101010	5
allometric	1010100100	4
mailcar	1000100	2
sculpturesque	1000010010000	3
steel-die	100000100	2
progressively	1001000100010	4
cay	100	1
dissimilative	1001001101000	5
quasi-deafening	100100100010100	5
fawn	1000	1
percussive	1001001000	3
peritrichan	10100101000	4
warm	1000	1
reynoldsburg	100010001000	3
antioptimism	101010101000	5
glisk	10000	1
achlorhydria	110000101001	5
outroguing	1001010000	3
huff	1000	1
entomologised	1010100110000	5
barbwire	10001000	2
aggadah	1010100	3
untread	1010000	2
glebe	10000	1
mussalman	100100100	3
allotype	10101000	3
capn	1000	1
dancer	100010	2
stagily	1000110	3
harling	1000100	2
plastron	10001000	2
aversely	11000010	3
dedendum	10100100	3
mattin	100100	2
crocused	10010000	2
wamefu	100010	2
tupi-guaranian	10100100101010	6
rntgenoscopy	100100101010	5
spatting	10001000	2
teeny-weeny	10010010010	4
bringing	10000100	2
beaugregory	10001000110	4
preadministrative	10010100101001000	6
intimal	1010100	3
cymoid	101000	2
esophagitis	11000110100	5
included	10100010	3
counterfeit	10001001000	3
simiousness	10011001000	4
hemihydrated	100110100010	5
sappanwood	1001001000	3
monopetalous	100110010100	5
captiousness	100100001000	3
hoeshin	1000010	2
draughtiest	10000001100	3
stratigrapher	1000100101000	4
impishness	1001001000	3
castoff	1000100	2
huic	1000	1
syllogize	100101000	3
phylloid	10001000	2
conditionally	1001010001010	5
kilohm	100100	2
leafhopper	1000100100	3
nibbing	1001000	2
cambodia	10010101	4
hagiolater	1001101100	5
opiated	1101010	4
redemonstrating	101001010000100	5
spender	1000100	2
calenturish	10010101000	4
tensional	100100010	3
homophony	101000110	4
dermatic	10010010	3
seed	1000	1
lesbos	100100	2
underwriter	10100100010	4
socioeconomically	10101101100110010	9
seventh	1001000	2
unpermissible	1010010010100	5
aeroelasticity	10011100100110	7
gamey	10010	2
abreast	1100000	2
heliometric	10101100100	5
estheticism	10100011000	4
hamper	100100	2
perfectionism	1001001000100	4
religiousness	1010100001000	4
irregular	101001100	4
humiliator	1010011100	5
oversentimentality	110010010100100110	8
millennium	1001001010	4
lunn	1000	1
schismless	1000001000	2
polycleitus	10011000100	4
amphiarthrodial	101001010001010	6
tall	1000	1
cringingness	100001001000	3
cauquenes	100100100	3
actinology	1010100110	5
even	1100	2
choko	10010	2
paracelsian	10011001010	5
infralapsarianism	10100100100110100	7
biysk	10000	1
revoir	101000	2
mistakingly	10010010010	4
basilar	1001100	3
mezza	10010	2
etherialization	110010101101000	7
puddling	10010000	2
bdl	100	1
adaptable	110001100	4
observance	1010010000	3
nondiffusible	1001001001100	5
plata	10010	2
unplodding	1010001000	3
memory	100110	3
margarin	10010100	3
unadjustable	101010001100	5
unconsultatory	10100100101010	6
archerfish	1010001000	3
sonorous	10101000	3
doubling	10010000	2
yen	100	1
cloud-cuckoo-land	10000010001001000	4
parvati	1001010	3
empiricist	1010011000	4
creesh	100000	1
plunging	10000100	2
investable	1010001100	4
unbeautiful	10100010100	4
syrinx	100100	2
undelineated	101010011010	6
unsuccored	1010010000	3
unamuno	1101010	4
ascribe	1010000	2
half-volleying	10000100100100	4
tetradrachma	100101000010	4
frederiksberg	1000101001000	4
noncombustive	1001001001000	4
splashboard	10000010000	2
forbore	1001000	2
gazellelike	10100001000	3
signalising	10010010100	4
betwixt	1010000	2
masan	10100	2
killikinic	1001010100	4
undualistic	10101010100	5
birobidzhan	10101010000	4
ashanti	1100010	3
noncrystallized	100100010010000	4
rememorized	10100110000	4
unwrestled	1010001000	3
secunderabad	101001001100	5
subpeduncle	10010100100	4
bbc	111	3
tuckerbox	100010100	3
papillosity	10010100110	5
nonbotanic	1001010010	4
sheraton	10001100	3
plainstones	10000100000	2
thessalonians	1000101010100	5
spathic	1000010	2
nonadaptor	1001100100	4
tacoma	101010	3
localisation	101001101000	5
pro-australian	10001001001010	5
recaption	101001000	3
unquelled	101000000	2
rivetting	100101000	3
balladise	100100100	3
amidocyanogen	1101010101100	7
dracula	1000110	3
redispute	101001000	3
coalsack	10001000	2
sthenia	1000101	3
arminianism	10100110100	5
gosala	101010	3
socialization	1010001101000	5
lowland	1001000	2
paiute	100100	2
pschent	1000000	1
unprecludable	1010010001100	5
ungnawed	10100000	2
xoanon	101100	3
prenurseries	100100100100	4
unvital	1010100	3
antilogarithm	1010100110000	5
indophenol	1010100100	4
lyrus	10100	2
deporter	10100010	3
caprifoliaceous	100101010110000	6
hexaemeron	1001101010	5
minny	10010	2
hamador	1001100	3
siemens	1001000	2
redeed	101000	2
guileless	100001000	2
undelivered	10101001000	4
diego	10110	3
direly	100010	2
begrudged	101000000	2
pivot	10010	2
nonprotestation	100100010101000	5
oxblood	1010000	2
unparaphrased	1010011000000	4
unprofessed	10100100000	3
burt	1000	1
magnetization	1001001101000	5
cystidia	10010011	4
expirer	1010010	3
